system:time_start,NDVI
306.00,"2,296.30"
307.00,"4,151.87"
308.00,"4,220.68"
309.00,"3,717.63"
310.00,"1,477.90"
311.00,"1,400.76"
312.00,9.111
313.00,296.885
314.00,125.821
315.00,330.839
316.00,820.433
317.00,693.032
318.00,"2,193.20"
319.00,"3,954.23"
320.00,"3,804.32"
321.00,"4,221"
322.00,"2,275.97"
323.00,700.857
324.00,567.346
325.00,217.346
326.00,334.25
327.00,393.033
328.00,863.9
329.00,"1,703.16"
330.00,"2,360.53"
331.00,"4,586.87"
332.00,"4,202.13"
333.00,"4,042.73"
334.00,"1,825.43"
335.00,506.538
336.00,643.567
337.00,-10.893
338.00,592.929
339.00,384.581
340.00,372.533
341.00,375
342.00,"1,580.80"
343.00,"4,461.07"
344.00,"3,990.58"
345.00,"3,139.20"
346.00,"2,653.77"
347.00,216.793
348.00,30.154
349.00,123.379
350.00,242.393
351.00,151.581
352.00,484.567
353.00,342.806
354.00,995.966
355.00,"2,857.57"
356.00,"4,839.07"
357.00,"3,742.37"
358.00,"1,987.17"
359.00,458.103
360.00,668.533
361.00,438
362.00,277.345
363.00,123.968
364.00,415.033
365.00,756.167
366.00,"1,107.27"
367.00,"3,751.23"
368.00,"5,270.77"
369.00,"4,547.17"
370.00,"2,394"
371.00,278
372.00,-0.929
373.00,60.379
374.00,94
375.00,397.074
376.00,493.067
377.00,"1,151.32"
378.00,"2,431.73"
379.00,"5,428.77"
380.00,"3,318.55"
381.00,"2,470.97"
382.00,"2,993.41"
383.00,812
384.00,422.448
385.00,972.2
386.00,17.63
387.00,384.129
388.00,597.4
389.00,948.161
390.00,"2,278.27"
391.00,"3,797.94"
392.00,"4,072.16"
393.00,"3,579.30"
394.00,"2,998.14"
395.00,609.345
396.00,333.964
397.00,823.071
398.00,"1,223.18"
399.00,"1,622.23"
400.00,"1,512.37"
401.00,"1,699.74"
402.00,"4,133.23"
403.00,"4,049.97"
404.00,"3,847.45"
405.00,"3,692.36"
406.00,"2,339.93"
407.00,932.037
408.00,-50.593
409.00,-84.25
410.00,145.259
411.00,342.1
412.00,"1,038.17"
413.00,"1,786.42"
414.00,"2,732.57"
415.00,"4,490.71"
416.00,"5,349.03"
417.00,"3,773.70"
418.00,750.793
419.00,626.714
420.00,-52.308
421.00,54.897
422.00,14.63
423.00,221.129
424.00,488.207
425.00,881.581
426.00,"2,150.67"
427.00,"5,211.36"
428.00,"3,565.65"
429.00,"1,929.75"
430.00,"2,468.53"
431.00,160.96
432.00,466.808
433.00,82
434.00,634.815
435.00,611.655
436.00,644.357
437.00,"1,540.58"
438.00,"3,241.30"
439.00,"5,367.74"
440.00,"4,588.71"
441.00,"3,396.17"
442.00,"2,297.58"
443.00,"1,308.30"
444.00,20.8
445.00,132.8
446.00,-14.522
447.00,705.138
448.00,623.071
449.00,"1,154.77"
450.00,"2,538.63"
451.00,"3,477.45"
452.00,"3,704.97"
453.00,"2,001.70"
454.00,998.2
455.00,"2,118.50"
456.00,0.00
457.00,0
458.00,173.875
459.00,522.35
460.00,872.593
461.00,898.759
462.00,"1,955.97"
463.00,"4,084.40"
464.00,"3,385.38"
465.00,844.7
466.00,884
467.00,0.00
468.00,0.00
